lemma,poscode,surface
Pinnipeds,3,Pinnipeds
Lagomorphs,3,Lagomorphs
Ovis,3,Ovis
Caprae,3,Caprae
Amphibians,3,Amphibians
Fermented milk products,3,Fermented milk products
Unfermented milks,3,Unfermented milks
Frozen desserts,3,Frozen desserts
Other confectioneries,3,Other confectioneries
Candies,3,Candies
Seasonings,3,Seasonings
Desserts,3,Desserts
Other dishes,3,Other dishes
Snack foods,3,Snack foods
Flat breads,3,Flat breads
Dressings,3,Dressings
Sauces,3,Sauces
Other milk products,3,Other milk products
Substitutes,3,Substitutes
Sugars,3,Sugars
Ground meat,3,Ground meat
Condiments,3,Condiments
Baking goods,3,Baking goods
Meat products,3,Meat products
Fruit products,3,Fruit products
Waters,3,Waters
Fish products,3,Fish products
Other beverages,3,Other beverages
Baby foods,3,Baby foods
Vegetable products,3,Vegetable products
Unclassified,3,Unclassified
Animal fats,3,Animal fats
Spreads,3,Spreads
Herb and spice mixtures,3,Herb and spice mixtures
Cocoa products,3,Cocoa products
Fermented milks,3,Fermented milks
Leavened breads,3,Leavened breads
Nutritional beverages,3,Nutritional beverages
Tex-Mex cuisine,3,Tex-Mex cuisine
Sandwiches,3,Sandwiches
Milk desserts,3,Milk desserts
Asian cuisine,3,Asian cuisine
Herbal teas,3,Herbal teas
Pasta dishes,3,Pasta dishes
Berber cuisine,3,Berber cuisine
Coffee products,3,Coffee products
Mexican cuisine,3,Mexican cuisine
Potato dishes,3,Potato dishes
American cuisine,3,American cuisine
Wrappers,3,Wrappers
Vegetable fats,3,Vegetable fats
Latin American cuisine,3,Latin American cuisine
Bread products,3,Bread products
Sweet breads,3,Sweet breads
Jewish cuisine,3,Jewish cuisine
Levantine cuisine,3,Levantine cuisine
