lemma,poscode,surface
Oval-leaf huckleberry,3,Oval-leaf huckleberry
Evergreen huckleberry,3,Evergreen huckleberry
Red huckleberry,3,Red huckleberry
Longan,3,Longan
Macadamia nut ,3,Macadamia nut 
Garden onion ,3,Garden onion 
Summer grape,3,Summer grape
Fox grape,3,Fox grape
Nectarine,3,Nectarine
Pepper,3,Pepper
Rambutan,3,Rambutan
Red rice,3,Red rice
Annual wild rice,3,Annual wild rice
Swiss chard,3,Swiss chard
Lemon thyme,3,Lemon thyme
Tronchuda cabbage,3,Tronchuda cabbage
Japanese walnut,3,Japanese walnut
Welsh onion,3,Welsh onion
Hard wheat,3,Hard wheat
Shallot,3,Shallot
Carrot,3,Carrot
Triticale,3,Triticale
Black cabbage,3,Black cabbage
Half-highbush blueberry,3,Half-highbush blueberry
Celery leaves,3,Celery leaves
Chicory leaves,3,Chicory leaves
Komatsuna,3,Komatsuna
Pak choy,3,Pak choy
Napa cabbage,3,Napa cabbage
Chicory roots,3,Chicory roots
Grapefruit,3,Grapefruit
Jostaberry,3,Jostaberry
Kai-lan,3,Kai-lan
Italian oregano,3,Italian oregano
Oxheart cabbage,3,Oxheart cabbage
Daikon radish,3,Daikon radish
Black radish,3,Black radish
Red beetroot,3,Red beetroot
Sweet rowanberry,3,Sweet rowanberry
Pineappple sage,3,Pineappple sage
Skunk currant,3,Skunk currant
Beer,3,Beer
Other bread,3,Other bread
Breakfast cereal,3,Breakfast cereal
Other soy product,3,Other soy product
Other cereal product,3,Other cereal product
Pasta,3,Pasta
Biscuit,3,Biscuit
Sourdough,3,Sourdough
Spirit,3,Spirit
Fortified wine,3,Fortified wine
Other alcoholic beverage,3,Other alcoholic beverage
Abalone,3,Abalone
Abiyuch,3,Abiyuch
Acerola,3,Acerola
Acorn,3,Acorn
Winter squash,3,Winter squash
Agar,3,Agar
Red king crab,3,Red king crab
Alfalfa,3,Alfalfa
Allspice,3,Allspice
Amaranth,3,Amaranth
Arrowhead,3,Arrowhead
Arrowroot,3,Arrowroot
Asian pear,3,Asian pear
Atlantic herring,3,Atlantic herring
Atlantic mackerel,3,Atlantic mackerel
Painted comber,3,Painted comber
Atlantic pollock,3,Atlantic pollock
Atlantic wolffish,3,Atlantic wolffish
Bamboo shoots,3,Bamboo shoots
Striped bass,3,Striped bass
Beaver,3,Beaver
Beech nut,3,Beech nut
Beluga whale,3,Beluga whale
Bison,3,Bison
Black bear,3,Black bear
Alaska blackfish,3,Alaska blackfish
Blue crab,3,Blue crab
Blue mussel,3,Blue mussel
Northern bluefin tuna,3,Northern bluefin tuna
Bluefish,3,Bluefish
Wild boar,3,Wild boar
Bowhead whale,3,Bowhead whale
Breadfruit,3,Breadfruit
Breadnut tree seed,3,Breadnut tree seed
Rapini,3,Rapini
Brown bear,3,Brown bear
Buffalo,3,Buffalo
Burbot,3,Burbot
Giant butterbur,3,Giant butterbur
American butterfish,3,American butterfish
Butternut,3,Butternut
Butternut squash,3,Butternut squash
Calabash,3,Calabash
Cardoon,3,Cardoon
Caribou,3,Caribou
Natal plum,3,Natal plum
Carob,3,Carob
Common carp,3,Common carp
Cassava,3,Cassava
Channel catfish,3,Channel catfish
Chayote,3,Chayote
Cherimoya,3,Cherimoya
Chervil,3,Chervil
Chia,3,Chia
Chicken ,3,Chicken 
Chinese broccoli,3,Chinese broccoli
Chinese chestnut,3,Chinese chestnut
Chinese water chestnut,3,Chinese water chestnut
Garland chrysanthemum,3,Garland chrysanthemum
Cisco,3,Cisco
Nuttall cockle,3,Nuttall cockle
Coconut,3,Coconut
Pacific cod,3,Pacific cod
Atlantic cod,3,Atlantic cod
Common octopus,3,Common octopus
Corn salad,3,Corn salad
Cottonseed,3,Cottonseed
Catjang pea,3,Catjang pea
Malus ,3,Malus 
Squashberry,3,Squashberry
Atlantic croaker,3,Atlantic croaker
Cusk,3,Cusk
Cuttlefish,3,Cuttlefish
Mule deer,3,Mule deer
Devilfish,3,Devilfish
Dock,3,Dock
Dolphin fish,3,Dolphin fish
Freshwater drum,3,Freshwater drum
Mallard duck,3,Mallard duck
Dungeness crab,3,Dungeness crab
Durian,3,Durian
Eastern oyster,3,Eastern oyster
Freshwater eel,3,Freshwater eel
Elderberry,3,Elderberry
Elk,3,Elk
Emu,3,Emu
Oregon yampah,3,Oregon yampah
European anchovy,3,European anchovy
European chestnut,3,European chestnut
Turbot,3,Turbot
Fireweed,3,Fireweed
Florida pompano,3,Florida pompano
Ginkgo nuts,3,Ginkgo nuts
Greylag goose,3,Greylag goose
Grape,3,Grape
Greenland halibut,3,Greenland halibut
Groundcherry,3,Groundcherry
Grouper,3,Grouper
Guinea hen,3,Guinea hen
Haddock,3,Haddock
Hippoglossus ,3,Hippoglossus 
Hazelnut,3,Hazelnut
Hickory nut,3,Hickory nut
Horse,3,Horse
Horseradish tree,3,Horseradish tree
